fecha,Estación,Precipitación
2011-06-17,Holt Ibicuy - Comisaría,---mm
2011-06-17,Mazaruca - Destacamento,---mm
2011-06-17,Villa Paranacito - Prefectura,---mm
2011-06-20,Brazo Largo - Puesto Caminero,---mm
2011-06-20,Holt Ibicuy - Comisaría,---mm
2011-06-20,Mazaruca - Destacamento,---mm
2011-06-20,Villa Paranacito - Prefectura,---mm
2011-06-21,Brazo Largo - Puesto Caminero,---mm
2011-06-21,Holt Ibicuy - Comisaría,---mm
2011-06-21,Mazaruca - Destacamento,---mm
2011-06-21,Villa Paranacito - Prefectura,---mm
2011-06-22,Brazo Largo - Puesto Caminero,12mm
2011-06-22,Holt Ibicuy - Comisaría,17mm
2011-06-22,Mazaruca - Destacamento,18mm
2011-06-22,Villa Paranacito - Prefectura,20mm
2011-07-13,Brazo Largo - Puesto Caminero,---mm
2011-07-13,Holt Ibicuy - Comisaría,---mm
2011-07-13,Mazaruca - Destacamento,---mm
2011-07-13,Villa Paranacito - Prefectura,---mm
2011-07-15,Brazo Largo - Puesto Caminero,7mm
2011-07-15,Holt Ibicuy - Comisaría,2mm
2011-07-15,Mazaruca - Destacamento,2mm
2011-07-15,Villa Paranacito - Prefectura,19mm
2011-07-16,Brazo Largo - Puesto Caminero,---mm
2011-07-16,Holt Ibicuy - Comisaría,---mm
2011-07-16,Mazaruca - Destacamento,---mm
2011-07-16,Villa Paranacito - Prefectura,---mm
2011-07-18,Brazo Largo - Puesto Caminero,---mm
2011-07-18,Holt Ibicuy - Comisaría,2mm
2011-07-18,Mazaruca - Destacamento,---mm
2011-07-18,Villa Paranacito - Prefectura,3mm
2011-07-25,Brazo Largo - Puesto Caminero,16mm
2011-07-25,Holt Ibicuy - Comisaría,6mm
2011-07-25,Mazaruca - Destacamento,7mm
2011-07-25,Villa Paranacito - Prefectura,23mm
2011-07-27,Brazo Largo - Puesto Caminero,---mm
2011-07-27,Holt Ibicuy - Comisaría,---mm
2011-07-27,Mazaruca - Destacamento,---mm
2011-07-27,Villa Paranacito - Prefectura,---mm
2011-07-29,Brazo Largo - Puesto Caminero,---mm
2011-07-29,Holt Ibicuy - Comisaría,---mm
2011-07-29,Mazaruca - Destacamento,---mm
2011-07-29,Villa Paranacito - Prefectura,---mm
2011-08-01,Brazo Largo - Puesto Caminero,---mm
2011-08-01,Holt Ibicuy - Comisaría,---mm
2011-08-01,Mazaruca - Destacamento,---mm
2011-08-01,Villa Paranacito - Prefectura,---mm
2011-08-15,Brazo Largo - Puesto Caminero,---mm
2011-08-15,Holt Ibicuy - Comisaría,---mm
2011-08-15,Mazaruca - Destacamento,---mm
2011-08-15,Villa Paranacito - Prefectura,---mm
2011-08-16,Brazo Largo - Puesto Caminero,---mm
2011-08-16,Holt Ibicuy - Comisaría,---mm
2011-08-16,Mazaruca - Destacamento,---mm
2011-08-16,Villa Paranacito - Prefectura,---mm
2011-08-18,Brazo Largo - Puesto Caminero,---mm
2011-08-18,Holt Ibicuy - Comisaría,---mm
2011-08-18,Mazaruca - Destacamento,---mm
2011-08-18,Villa Paranacito - Prefectura,---mm
2011-08-27,Brazo Largo - Puesto Caminero,---mm
2011-08-27,Holt Ibicuy - Comisaría,---mm
2011-08-27,Mazaruca - Destacamento,---mm
2011-08-27,Villa Paranacito - Prefectura,---mm
2011-09-16,Brazo Largo - Puesto Caminero,---mm
2011-09-16,Holt Ibicuy - Comisaría,20mm
2011-09-16,Mazaruca - Destacamento,8mm
2011-09-16,Villa Paranacito - Prefectura,15mm
2011-09-17,Brazo Largo - Puesto Caminero,---mm
2011-09-17,Holt Ibicuy - Comisaría,---mm
2011-09-17,Mazaruca - Destacamento,---mm
2011-09-17,Villa Paranacito - Prefectura,---mm
2011-09-30,Brazo Largo - Puesto Caminero,---mm
2011-09-30,Holt Ibicuy - Comisaría,---mm
2011-09-30,Mazaruca - Destacamento,---mm
2011-09-30,Villa Paranacito - Prefectura,---mm
2011-10-04,Brazo Largo - Puesto Caminero,---mm
2011-10-04,Holt Ibicuy - Comisaría,---mm
2011-10-04,Mazaruca - Destacamento,---mm
2011-10-04,Villa Paranacito - Prefectura,---mm
2011-10-06,Brazo Largo - Puesto Caminero,30mm
2011-10-06,Holt Ibicuy - Comisaría,32mm
2011-10-06,Mazaruca - Destacamento,32mm
2011-10-06,Villa Paranacito - Prefectura,30mm
2011-10-07,Brazo Largo - Puesto Caminero,18mm
2011-10-07,Holt Ibicuy - Comisaría,22mm
2011-10-07,Mazaruca - Destacamento,22mm
2011-10-07,Villa Paranacito - Prefectura,18mm
2011-10-09,Brazo Largo - Puesto Caminero,---mm
2011-10-09,Holt Ibicuy - Comisaría,---mm
2011-10-09,Mazaruca - Destacamento,---mm
2011-10-09,Villa Paranacito - Prefectura,---mm
2011-10-12,Brazo Largo - Puesto Caminero,15mm
2011-10-12,Holt Ibicuy - Comisaría,18mm
2011-10-12,Mazaruca - Destacamento,18mm
2011-10-12,Villa Paranacito - Prefectura,15mm
2011-10-18,Brazo Largo - Puesto Caminero,12mm
2011-10-18,Holt Ibicuy - Comisaría,14mm
2011-10-18,Mazaruca - Destacamento,14mm
2011-10-18,Villa Paranacito - Prefectura,13mm
2011-10-22,Brazo Largo - Puesto Caminero,---mm
2011-10-22,Holt Ibicuy - Comisaría,---mm
2011-10-22,Mazaruca - Destacamento,---mm
2011-10-22,Villa Paranacito - Prefectura,---mm
2011-10-23,Brazo Largo - Puesto Caminero,---mm
2011-10-23,Holt Ibicuy - Comisaría,---mm
2011-10-23,Mazaruca - Destacamento,---mm
2011-10-23,Villa Paranacito - Prefectura,---mm
2011-10-24,Brazo Largo - Puesto Caminero,---mm
2011-10-24,Holt Ibicuy - Comisaría,---mm
2011-10-24,Mazaruca - Destacamento,---mm
2011-10-24,Villa Paranacito - Prefectura,---mm
2011-10-25,Brazo Largo - Puesto Caminero,---mm
2011-10-25,Holt Ibicuy - Comisaría,---mm
2011-10-25,Mazaruca - Destacamento,---mm
2011-10-25,Villa Paranacito - Prefectura,---mm
2011-10-28,Brazo Largo - Puesto Caminero,10mm
2011-10-28,Holt Ibicuy - Comisaría,13mm
2011-10-28,Mazaruca - Destacamento,8mm
2011-10-28,Villa Paranacito - Prefectura,6mm
2011-10-29,Brazo Largo - Puesto Caminero,---mm
