fecha,Estación,Precipitación
2011-02-18,Gdor Mansilla - Comisaría,---mm
2011-02-18,Gdor. Maciá - Comisaría,---mm
2011-02-18,Rosario del Tala - OSM,---mm
2011-02-18,Sauce Norte,---mm
2011-02-18,Tala - Ciudad,---mm
2011-02-19,Durazno - Comisaría,---mm
2011-02-19,Gdor Echagüe - Comisaría,---mm
2011-02-19,Gdor Mansilla - Comisaría,---mm
2011-02-19,Gdor. Maciá - Comisaría,---mm
2011-02-19,Rosario del Tala - OSM,---mm
2011-02-19,Sauce Norte,---mm
2011-02-19,Tala - Ciudad,---mm
2011-02-20,Durazno - Comisaría,---mm
2011-02-20,Gdor Echagüe - Comisaría,---mm
2011-02-20,Gdor Mansilla - Comisaría,---mm
2011-02-20,Gdor. Maciá - Comisaría,---mm
2011-02-20,Rosario del Tala - OSM,---mm
2011-02-20,Sauce Norte,---mm
2011-02-20,Tala - Ciudad,---mm
2011-02-21,Durazno - Comisaría,---mm
2011-02-21,Gdor Echagüe - Comisaría,---mm
2011-02-21,Gdor Mansilla - Comisaría,---mm
2011-02-21,Gdor. Maciá - Comisaría,---mm
2011-02-21,Rosario del Tala - OSM,---mm
2011-02-21,Sauce Norte,---mm
2011-02-21,Tala - Ciudad,---mm
2011-02-22,Durazno - Comisaría,7mm
2011-02-22,Gdor Echagüe - Comisaría,8mm
2011-02-22,Gdor Mansilla - Comisaría,12mm
2011-02-22,Gdor. Maciá - Comisaría,25mm
2011-02-22,Rosario del Tala - OSM,---mm
2011-02-22,Sauce Norte,8mm
2011-02-22,Tala - Ciudad,5mm
2011-02-23,Durazno - Comisaría,24mm
2011-02-23,Gdor Echagüe - Comisaría,32mm
2011-02-23,Gdor Mansilla - Comisaría,39mm
2011-02-23,Gdor. Maciá - Comisaría,19mm
2011-02-23,Rosario del Tala - OSM,21mm
2011-02-23,Sauce Norte,57mm
2011-02-23,Tala - Ciudad,21mm
2011-03-12,Durazno - Comisaría,25mm
2011-03-12,Gdor Echagüe - Comisaría,5mm
2011-03-12,Gdor Mansilla - Comisaría,7mm
2011-03-12,Gdor. Maciá - Comisaría,9mm
2011-03-12,Rosario del Tala - OSM,6mm
2011-03-12,Sauce Norte,15mm
2011-03-12,Tala - Ciudad,6mm
2011-03-16,Durazno - Comisaría,4mm
2011-03-16,Gdor Echagüe - Comisaría,2mm
2011-03-16,Gdor Mansilla - Comisaría,1mm
2011-03-16,Gdor. Maciá - Comisaría,4mm
2011-03-16,Rosario del Tala - OSM,4mm
2011-03-16,Sauce Norte,1mm
2011-03-16,Tala - Ciudad,4mm
2011-03-17,Durazno - Comisaría,6mm
2011-03-17,Gdor Echagüe - Comisaría,4mm
2011-03-17,Gdor Mansilla - Comisaría,3mm
2011-03-17,Gdor. Maciá - Comisaría,6mm
2011-03-17,Rosario del Tala - OSM,---mm
2011-03-17,Sauce Norte,2mm
2011-03-17,Tala - Ciudad,5mm
2011-03-23,Durazno - Comisaría,12mm
2011-03-23,Gdor Echagüe - Comisaría,44mm
2011-03-23,Gdor Mansilla - Comisaría,46mm
2011-03-23,Gdor. Maciá - Comisaría,29mm
2011-03-23,Rosario del Tala - OSM,---mm
2011-03-23,Sauce Norte,26mm
2011-03-23,Tala - Ciudad,30mm
2011-03-24,Durazno - Comisaría,9mm
2011-03-24,Gdor Echagüe - Comisaría,18mm
2011-03-24,Gdor Mansilla - Comisaría,17mm
2011-03-24,Gdor. Maciá - Comisaría,23mm
2011-03-24,Rosario del Tala - OSM,18mm
2011-03-24,Sauce Norte,30mm
