fecha,Estación,Precipitación
2011-02-18,Puerto Ruiz - Comisaría,---mm
2011-02-19,3º Distrito - Aldea Asunción,---mm
2011-02-19,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2011-02-19,7º Distrito - Comisaría Nº 28,---mm
2011-02-19,8º Distrito - Comisaría Nº 27,---mm
2011-02-19,Gral. Galarza - Comisaría,---mm
2011-02-19,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2011-02-19,Lazo - Comisaría,---mm
2011-02-19,Puerto Ruiz - Comisaría,---mm
2011-02-20,3º Distrito - Aldea Asunción,---mm
2011-02-20,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2011-02-20,7º Distrito - Comisaría Nº 28,---mm
2011-02-20,8º Distrito - Comisaría Nº 27,---mm
2011-02-20,Gral. Galarza - Comisaría,---mm
2011-02-20,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2011-02-20,Lazo - Comisaría,---mm
2011-02-20,Puerto Ruiz - Comisaría,---mm
2011-02-21,3º Distrito - Aldea Asunción,---mm
2011-02-21,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2011-02-21,7º Distrito - Comisaría Nº 28,---mm
2011-02-21,8º Distrito - Comisaría Nº 27,---mm
2011-02-21,Gral. Galarza - Comisaría,---mm
2011-02-21,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2011-02-21,Lazo - Comisaría,---mm
2011-02-21,Puerto Ruiz - Comisaría,---mm
2011-02-22,3º Distrito - Aldea Asunción,---mm
2011-02-22,6º Distrito - Comisaría Nº 17 (3 Boc.),2mm
2011-02-22,7º Distrito - Comisaría Nº 28,5mm
2011-02-22,8º Distrito - Comisaría Nº 27,9mm
2011-02-22,Gral. Galarza - Comisaría,15mm
2011-02-22,Gualeguay Ciudad - Bomberos Voluntarios,3mm
2011-02-22,Lazo - Comisaría,---mm
2011-02-22,Puerto Ruiz - Comisaría,---mm
2011-02-23,3º Distrito - Aldea Asunción,---mm
2011-02-23,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2011-02-23,7º Distrito - Comisaría Nº 28,---mm
2011-02-23,8º Distrito - Comisaría Nº 27,---mm
2011-02-23,Gral. Galarza - Comisaría,---mm
2011-02-23,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2011-02-23,Lazo - Comisaría,---mm
2011-02-23,Puerto Ruiz - Comisaría,---mm
2011-03-12,3º Distrito - Aldea Asunción,---mm
2011-03-12,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2011-03-12,7º Distrito - Comisaría Nº 28,---mm
2011-03-12,8º Distrito - Comisaría Nº 27,---mm
2011-03-12,Gral. Galarza - Comisaría,---mm
2011-03-12,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2011-03-12,Lazo - Comisaría,---mm
2011-03-12,Puerto Ruiz - Comisaría,---mm
2011-03-16,3º Distrito - Aldea Asunción,---mm
