fecha,Estación,Precipitación
2010-11-27,Estación Gilbert - Comisaría,---mm
2010-11-27,Faustino M. Parera - Destacamento,---mm
2010-11-27,Gchú - Ciudad - Municipalidad,---mm
2010-11-27,Gral. Almada - Comisaría,---mm
2010-11-27,Irazusta - Subcomisaría,---mm
2010-11-27,Pastor Britos,---mm
2010-11-27,Pehuajó Sur - Subcomisaría,---mm
2010-11-27,Perdices,---mm
2010-11-27,Rincón del Gato - Comisaría,---mm
2010-11-27,Talitas - Subcomisaría,---mm
2010-12-02,Alarcón - Destacamento,---mm
2010-12-02,Aldea San Antonio (Scheffer),---mm
2010-12-02,Costa Río Uruguay - Comisaría,---mm
2010-12-02,Costa San Antonio,---mm
2010-12-02,Cuchilla Redonda - Comisaría,---mm
2010-12-02,Escriña - Destacamento,---mm
2010-12-02,Estación Gilbert - Comisaría,---mm
2010-12-02,Faustino M. Parera - Destacamento,---mm
2010-12-02,Gchú - Ciudad - Municipalidad,---mm
2010-12-02,Gral. Almada - Comisaría,---mm
2010-12-02,Irazusta - Subcomisaría,---mm
2010-12-02,Pastor Britos,---mm
2010-12-02,Pehuajó Sur - Subcomisaría,---mm
2010-12-02,Perdices,---mm
2010-12-02,Rincón del Gato - Comisaría,---mm
2010-12-02,Talitas - Subcomisaría,---mm
2010-12-04,Alarcón - Destacamento,---mm
2010-12-04,Aldea San Antonio (Scheffer),---mm
2010-12-04,Costa Río Uruguay - Comisaría,---mm
2010-12-04,Costa San Antonio,---mm
2010-12-04,Cuchilla Redonda - Comisaría,---mm
2010-12-04,Escriña - Destacamento,---mm
2010-12-04,Estación Gilbert - Comisaría,---mm
2010-12-04,Faustino M. Parera - Destacamento,---mm
2010-12-04,Gchú - Ciudad - Municipalidad,---mm
2010-12-04,Gral. Almada - Comisaría,---mm
2010-12-04,Irazusta - Subcomisaría,---mm
2010-12-04,Pastor Britos,---mm
2010-12-04,Pehuajó Sur - Subcomisaría,---mm
2010-12-04,Perdices,---mm
2010-12-04,Rincón del Gato - Comisaría,---mm
2010-12-04,Talitas - Subcomisaría,---mm
2010-12-10,Alarcón - Destacamento,---mm
2010-12-10,Aldea San Antonio (Scheffer),5mm
2010-12-10,Costa Río Uruguay - Comisaría,---mm
2010-12-10,Costa San Antonio,---mm
2010-12-10,Cuchilla Redonda - Comisaría,---mm
2010-12-10,Escriña - Destacamento,---mm
2010-12-10,Estación Gilbert - Comisaría,---mm
2010-12-10,Faustino M. Parera - Destacamento,---mm
2010-12-10,Gchú - Ciudad - Municipalidad,5mm
2010-12-10,Gral. Almada - Comisaría,---mm
2010-12-10,Irazusta - Subcomisaría,13mm
2010-12-10,Pastor Britos,---mm
2010-12-10,Pehuajó Sur - Subcomisaría,12mm
2010-12-10,Perdices,5mm
2010-12-10,Rincón del Gato - Comisaría,8mm
2010-12-10,Talitas - Subcomisaría,---mm
2010-12-11,Alarcón - Destacamento,---mm
2010-12-11,Aldea San Antonio (Scheffer),---mm
2010-12-11,Costa Río Uruguay - Comisaría,---mm
2010-12-11,Costa San Antonio,---mm
2010-12-11,Cuchilla Redonda - Comisaría,---mm
2010-12-11,Escriña - Destacamento,---mm
2010-12-11,Estación Gilbert - Comisaría,---mm
2010-12-11,Faustino M. Parera - Destacamento,---mm
2010-12-11,Gchú - Ciudad - Municipalidad,7mm
2010-12-11,Gral. Almada - Comisaría,---mm
2010-12-11,Irazusta - Subcomisaría,---mm
2010-12-11,Pastor Britos,---mm
2010-12-11,Pehuajó Sur - Subcomisaría,---mm
2010-12-11,Perdices,---mm
2010-12-11,Rincón del Gato - Comisaría,---mm
2010-12-11,Talitas - Subcomisaría,---mm
2010-12-12,Alarcón - Destacamento,---mm
2010-12-12,Aldea San Antonio (Scheffer),---mm
2010-12-12,Costa Río Uruguay - Comisaría,---mm
2010-12-12,Costa San Antonio,---mm
2010-12-12,Cuchilla Redonda - Comisaría,---mm
2010-12-12,Escriña - Destacamento,---mm
2010-12-12,Estación Gilbert - Comisaría,---mm
2010-12-12,Faustino M. Parera - Destacamento,---mm
2010-12-12,Gchú - Ciudad - Municipalidad,---mm
2010-12-12,Gral. Almada - Comisaría,---mm
2010-12-12,Irazusta - Subcomisaría,---mm
2010-12-12,Pastor Britos,---mm
2010-12-12,Pehuajó Sur - Subcomisaría,---mm
2010-12-12,Perdices,---mm
2010-12-12,Rincón del Gato - Comisaría,---mm
2010-12-12,Talitas - Subcomisaría,---mm
2010-12-18,Alarcón - Destacamento,7mm
2010-12-18,Aldea San Antonio (Scheffer),1mm
2010-12-18,Costa Río Uruguay - Comisaría,4mm
2010-12-18,Costa San Antonio,5mm
2010-12-18,Cuchilla Redonda - Comisaría,8mm
2010-12-18,Escriña - Destacamento,3mm
2010-12-18,Estación Gilbert - Comisaría,3mm
2010-12-18,Faustino M. Parera - Destacamento,5mm
2010-12-18,Gchú - Ciudad - Municipalidad,3mm
2010-12-18,Gral. Almada - Comisaría,5mm
2010-12-18,Irazusta - Subcomisaría,5mm
2010-12-18,Pastor Britos,5mm
2010-12-18,Pehuajó Sur - Subcomisaría,4mm
2010-12-18,Perdices,4mm
2010-12-18,Rincón del Gato - Comisaría,---mm
2010-12-18,Talitas - Subcomisaría,5mm
2010-12-19,Alarcón - Destacamento,---mm
2010-12-19,Aldea San Antonio (Scheffer),---mm
2010-12-19,Costa Río Uruguay - Comisaría,---mm
2010-12-19,Costa San Antonio,---mm
2010-12-19,Cuchilla Redonda - Comisaría,---mm
2010-12-19,Escriña - Destacamento,---mm
2010-12-19,Estación Gilbert - Comisaría,---mm
2010-12-19,Faustino M. Parera - Destacamento,---mm
